T,B,H,W,BlockSize,AvgOverallSparsity,AvgZeroBlockRatio
8,32,224,224,16,,
8,32,224,224,32,,
8,64,224,224,16,,
8,64,224,224,32,,
16,32,224,224,16,,
16,32,224,224,32,,
16,64,224,224,16,,
16,64,224,224,32,,
32,32,224,224,16,,
32,32,224,224,32,,
32,64,224,224,16,,
32,64,224,224,32,,
64,32,224,224,16,,
64,32,224,224,32,,
64,64,224,224,16,,
64,64,224,224,32,,
