T,B,H,W,BlockSize,AvgOverallSparsity,AvgZeroBlockRatio
8,32,224,224,16,99.9329%,99.8071%
8,32,224,224,32,99.9329%,99.6951%
8,64,224,224,16,99.9329%,99.8071%
8,64,224,224,32,99.9329%,99.6951%
16,32,224,224,16,99.9241%,99.7506%
16,32,224,224,32,99.9241%,99.6118%
16,64,224,224,16,99.9241%,99.7506%
16,64,224,224,32,99.9241%,99.6117%
32,32,224,224,16,99.9222%,99.7219%
32,32,224,224,32,99.9222%,99.5678%
32,64,224,224,16,99.9222%,99.7219%
32,64,224,224,32,99.9222%,99.5678%
