T,B,H,W,BlockSize,AvgOverallSparsity,AvgZeroBlockRatio
8,32,224,224,16,99.9727%,99.9321%
8,32,224,224,32,99.9727%,99.9181%
8,64,224,224,16,99.9727%,99.9321%
8,64,224,224,32,99.9727%,99.9181%
16,32,224,224,16,99.9713%,99.9180%
16,32,224,224,32,99.9713%,99.8992%
16,64,224,224,16,99.9713%,99.9180%
16,64,224,224,32,99.9713%,99.8992%
32,32,224,224,16,99.9709%,99.9100%
32,32,224,224,32,99.9709%,99.8885%
32,64,224,224,16,99.9709%,99.9100%
32,64,224,224,32,99.9709%,99.8885%
