T,B,H,W,BlockSize,AvgOverallSparsity,AvgZeroBlockRatio
8,32,224,224,16,99.9334%,99.8296%
8,32,224,224,32,99.9334%,99.7862%
8,64,224,224,16,99.9334%,99.8296%
8,64,224,224,32,99.9334%,99.7861%
16,32,224,224,16,99.9311%,99.7983%
16,32,224,224,32,99.9311%,99.7479%
16,64,224,224,16,99.9311%,99.7983%
16,64,224,224,32,99.9311%,99.7479%
